feature,min,max,media
Gender==Female,0.0,1.0,0.49407863571766936
Age,14.0,61.0,24.312599908574136
Height,1.45,1.98,1.7016773533870204
Weight,39.0,173.0,86.58605812648035
family_history_with_overweight==no,0.0,1.0,0.18237801989578398
FAVC==no,0.0,1.0,0.11605873993368072
FCVC,1.0,3.0,2.4190430615821885
NCP,1.0,4.0,2.6856280497394596
CAEC==Always,0.0,1.0,0.02510658455708195
CAEC==Frequently,0.0,1.0,0.11463761250592136
CAEC==Sometimes,0.0,1.0,0.8360966366650876
CAEC==no,0.0,1.0,0.024159166271909047
SMOKE==no,0.0,1.0,0.9791567977261961
CH2O,1.0,3.0,2.0080114040738986
SCC==no,0.0,1.0,0.9545239223117006
FAF,0.0,3.0,1.0102976958787306
TUE,0.0,2.0,0.657865923732828
CALC==Always,0.0,1.0,0.0004737091425864519
CALC==Frequently,0.0,1.0,0.03315963998105163
CALC==Sometimes,0.0,1.0,0.6636665087636191
CALC==no,0.0,1.0,0.30270014211274276
MTRANS==Automobile,0.0,1.0,0.21648507816200852
MTRANS==Bike,0.0,1.0,0.0033159639981051635
MTRANS==Motorbike,0.0,1.0,0.005210800568450971
MTRANS==Public_Transportation,0.0,1.0,0.7484604452865941
MTRANS==Walking,0.0,1.0,0.026527711984841308
